username,result,image_path,process_time
njh,{'0': '其他垃圾/一次性快餐盒'},C:/Users/27877/Desktop/validate\img_15.jpg,2023/06/25 16:00:37
njh,{'0': '其他垃圾/一次性快餐盒'},C:/Users/27877/Desktop/validate\img_23.jpg,2023/06/25 16:00:37
njh,{'0': '其他垃圾/一次性快餐盒'},C:/Users/27877/Desktop/validate\img_26.jpg,2023/06/25 16:00:37
njh,{'0': '其他垃圾/一次性快餐盒'},C:/Users/27877/Desktop/validate\img_28.jpg,2023/06/25 16:00:37
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_15.jpg,2023/06/25 16:05:07
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_23.jpg,2023/06/25 16:05:07
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_26.jpg,2023/06/25 16:05:07
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_28.jpg,2023/06/25 16:05:07
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_15.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_23.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_26.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_28.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_47.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_48.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_53.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""纸板箱""}",C:\Users\27877\Desktop\validate\img_59.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_61.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_76.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""充电宝""}",C:\Users\27877\Desktop\validate\img_87.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_97.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_101.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""玻璃杯""}",C:\Users\27877\Desktop\validate\img_112.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_125.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_128.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_134.jpg,2023/06/25 16:17:31
